Report file after 768000 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

2.) Summary of the most leakging (and already active) probing sets: 

@[aes_state_regs_0_S20xDN[4](47)] ==> [aes_state_regs_0_n156(47), aes_state_regs_0_n39(47), aes_state_regs_0_S30xDP_3_(47), aes_state_regs_0_S00xDP[3](47), aes_state_regs_0_S20xDP_4_(47), aes_state_regs_0_S00xDP[4](47), aes_state_regs_0_S00xDP[7](47), aes_state_regs_0_S10xDP_4_(47), aes_state_regs_0_S30xDP_7_(47), aes_ctrl_lsfr_23_cycles_1_n9(47), aes_ctrl_lsfr_23_cycles_1_n7(47), rcon_1_n28(47), rcon_1_n31(47), aes_ctrl_lsfr_23_cycles_1_n4(47), aes_ctrl_lsfr_23_cycles_1_n12(47), aes_ctrl_lsfr_23_cycles_1_n5(47), aes_ctrl_lsfr_23_cycles_1_n10(47), aes_state_regs_0_n156(46), aes_state_regs_0_n39(46), aes_state_regs_0_S30xDP_3_(46), aes_state_regs_0_S00xDP[3](46), aes_state_regs_0_S20xDP_4_(46), aes_state_regs_0_S00xDP[4](46), aes_state_regs_0_S00xDP[7](46), aes_state_regs_0_S10xDP_4_(46), aes_state_regs_0_S30xDP_7_(46), aes_ctrl_lsfr_23_cycles_1_n9(46), aes_ctrl_lsfr_23_cycles_1_n7(46), rcon_1_n28(46), rcon_1_n31(46), aes_ctrl_lsfr_23_cycles_1_n4(46), aes_ctrl_lsfr_23_cycles_1_n12(46), aes_ctrl_lsfr_23_cycles_1_n5(46), aes_ctrl_lsfr_23_cycles_1_n10(46)] -log10(p) = 3.69939 --> OKAY
@[aes_state_regs_1_S20xDN[1](47)] ==> [aes_state_regs_1_n141(47), aes_state_regs_1_n42(47), aes_state_regs_1_S00xDP[0](47), aes_state_regs_1_S00xDP[1](47), aes_state_regs_1_S00xDP[7](47), aes_state_regs_1_S10xDP_1_(47), aes_state_regs_1_S20xDP_1_(47), aes_state_regs_1_S30xDP_7_(47), aes_state_regs_1_S30xDP_0_(47), aes_ctrl_lsfr_23_cycles_1_n9(47), aes_ctrl_lsfr_23_cycles_1_n7(47), rcon_1_n28(47), rcon_1_n31(47), aes_ctrl_lsfr_23_cycles_1_n4(47), aes_ctrl_lsfr_23_cycles_1_n12(47), aes_ctrl_lsfr_23_cycles_1_n5(47), aes_ctrl_lsfr_23_cycles_1_n10(47), aes_state_regs_1_n141(46), aes_state_regs_1_n42(46), aes_state_regs_1_S00xDP[0](46), aes_state_regs_1_S00xDP[1](46), aes_state_regs_1_S00xDP[7](46), aes_state_regs_1_S10xDP_1_(46), aes_state_regs_1_S20xDP_1_(46), aes_state_regs_1_S30xDP_7_(46), aes_state_regs_1_S30xDP_0_(46), aes_ctrl_lsfr_23_cycles_1_n9(46), aes_ctrl_lsfr_23_cycles_1_n7(46), rcon_1_n28(46), rcon_1_n31(46), aes_ctrl_lsfr_23_cycles_1_n4(46), aes_ctrl_lsfr_23_cycles_1_n12(46), aes_ctrl_lsfr_23_cycles_1_n5(46), aes_ctrl_lsfr_23_cycles_1_n10(46)] -log10(p) = 3.35596 --> OKAY
@[aes_state_regs_1_S21xDP[1](50)] ==> [aes_state_regs_1_S21xDP[1](50), aes_state_regs_1_S21xDP[1](49)] -log10(p) = 2.95445 --> OKAY
@[SBOX_PL_5_n91(48)] ==> [SBOX_PL_5_n115(48), SBOX_FF4_out[0](48), SBOX_FF4_out[7](48), SBOX_FF4_out[25](48), SBOX_FF4_out[30](48), SBOX_Inst_f5_plwillwin_pw2_1_(48), SBOX_Inst_f5_phwillwin_pw2_1_(48), 1'b1(48), SBOX_PL_5_n115(47), SBOX_FF4_out[0](47), SBOX_FF4_out[7](47), SBOX_FF4_out[25](47), SBOX_FF4_out[30](47), SBOX_Inst_f5_plwillwin_pw2_1_(47), SBOX_Inst_f5_phwillwin_pw2_1_(47), 1'b1(47)] -log10(p) = 2.90442 --> OKAY
@[aes_state_regs_0_S10xDN[1](46)] ==> [aes_state_regs_0_n121(46), aes_state_regs_0_n50(46), aes_state_regs_0_S00xDP[1](46), aes_state_regs_0_S10xDP_1_(46), aes_state_regs_0_S20xDP_7_(46), aes_state_regs_0_S20xDP_0_(46), aes_state_regs_0_S30xDP_7_(46), aes_state_regs_0_S30xDP_1_(46), aes_state_regs_0_S30xDP_0_(46), aes_ctrl_lsfr_23_cycles_1_n9(46), aes_ctrl_lsfr_23_cycles_1_n7(46), rcon_1_n28(46), rcon_1_n31(46), aes_ctrl_lsfr_23_cycles_1_n4(46), aes_ctrl_lsfr_23_cycles_1_n12(46), aes_ctrl_lsfr_23_cycles_1_n5(46), aes_ctrl_lsfr_23_cycles_1_n10(46), aes_state_regs_0_n121(45), aes_state_regs_0_n50(45), aes_state_regs_0_S00xDP[1](45), aes_state_regs_0_S10xDP_1_(45), aes_state_regs_0_S20xDP_7_(45), aes_state_regs_0_S20xDP_0_(45), aes_state_regs_0_S30xDP_7_(45), aes_state_regs_0_S30xDP_1_(45), aes_state_regs_0_S30xDP_0_(45), aes_ctrl_lsfr_23_cycles_1_n9(45), aes_ctrl_lsfr_23_cycles_1_n7(45), rcon_1_n28(45), rcon_1_n31(45), aes_ctrl_lsfr_23_cycles_1_n4(45), aes_ctrl_lsfr_23_cycles_1_n12(45), aes_ctrl_lsfr_23_cycles_1_n5(45), aes_ctrl_lsfr_23_cycles_1_n10(45)] -log10(p) = 2.86263 --> OKAY
@[aes_state_regs_1_S20xDN[3](43)] ==> [aes_state_regs_1_n151(43), aes_state_regs_1_n40(43), aes_state_regs_1_S00xDP[2](43), aes_state_regs_1_S20xDP_3_(43), aes_state_regs_1_S00xDP[3](43), aes_state_regs_1_S10xDP_3_(43), aes_state_regs_1_S00xDP[7](43), aes_state_regs_1_S30xDP_7_(43), aes_state_regs_1_S30xDP_2_(43), aes_ctrl_lsfr_23_cycles_1_n9(43), aes_ctrl_lsfr_23_cycles_1_n7(43), rcon_1_n28(43), rcon_1_n31(43), aes_ctrl_lsfr_23_cycles_1_n4(43), aes_ctrl_lsfr_23_cycles_1_n12(43), aes_ctrl_lsfr_23_cycles_1_n5(43), aes_ctrl_lsfr_23_cycles_1_n10(43), aes_state_regs_1_n151(42), aes_state_regs_1_n40(42), aes_state_regs_1_S00xDP[2](42), aes_state_regs_1_S20xDP_3_(42), aes_state_regs_1_S00xDP[3](42), aes_state_regs_1_S10xDP_3_(42), aes_state_regs_1_S00xDP[7](42), aes_state_regs_1_S30xDP_7_(42), aes_state_regs_1_S30xDP_2_(42), aes_ctrl_lsfr_23_cycles_1_n9(42), aes_ctrl_lsfr_23_cycles_1_n7(42), rcon_1_n28(42), rcon_1_n31(42), aes_ctrl_lsfr_23_cycles_1_n4(42), aes_ctrl_lsfr_23_cycles_1_n12(42), aes_ctrl_lsfr_23_cycles_1_n5(42), aes_ctrl_lsfr_23_cycles_1_n10(42)] -log10(p) = 2.86015 --> OKAY
@[SBOX_PL_1_n145(50)] ==> [SBOX_PL_1_n91(50), aes_state_regs_1_S00xDP[7](50), K03xD[8](50), KeyOutxD[8](50), StateInxD[8](50), KeyToSboxOutxD[8](50), aes_state_regs_1_S10xDP_7_(50), aes_state_regs_1_S10xDP_0_(50), aes_state_regs_1_S20xDP_0_(50), aes_state_regs_1_S30xDP_0_(50), aes_state_regs_1_n28(50), KxDI[8](50), PTxDI[8](50), 1'b1(50), rcon_1_n4(50), rcon_1_n33(50), aes_ctrl_lsfr_23_cycles_1_n9(50), aes_ctrl_lsfr_23_cycles_1_n8(50), aes_ctrl_lsfr_23_cycles_1_n6(50), aes_ctrl_lsfr_23_cycles_1_n7(50), rcon_1_n28(50), rcon_1_n31(50), aes_ctrl_lsfr_23_cycles_1_n2(50), aes_ctrl_lsfr_23_cycles_1_n4(50), aes_ctrl_lsfr_23_cycles_1_n12(50), aes_ctrl_lsfr_23_cycles_1_n5(50), aes_ctrl_lsfr_23_cycles_1_n10(50), SBOX_PL_1_n91(49), aes_state_regs_1_S00xDP[7](49), K03xD[8](49), KeyOutxD[8](49), StateInxD[8](49), KeyToSboxOutxD[8](49), aes_state_regs_1_S10xDP_7_(49), aes_state_regs_1_S10xDP_0_(49), aes_state_regs_1_S20xDP_0_(49), aes_state_regs_1_S30xDP_0_(49), aes_state_regs_1_n28(49), KxDI[8](49), PTxDI[8](49), 1'b1(49), rcon_1_n4(49), rcon_1_n33(49), aes_ctrl_lsfr_23_cycles_1_n9(49), aes_ctrl_lsfr_23_cycles_1_n8(49), aes_ctrl_lsfr_23_cycles_1_n6(49), aes_ctrl_lsfr_23_cycles_1_n7(49), rcon_1_n28(49), rcon_1_n31(49), aes_ctrl_lsfr_23_cycles_1_n2(49), aes_ctrl_lsfr_23_cycles_1_n4(49), aes_ctrl_lsfr_23_cycles_1_n12(49), aes_ctrl_lsfr_23_cycles_1_n5(49), aes_ctrl_lsfr_23_cycles_1_n10(49)] -log10(p) = 2.77796 --> OKAY
@[aes_state_regs_0_S10xDN[4](47)] ==> [aes_state_regs_0_n124(47), aes_state_regs_0_n47(47), aes_state_regs_0_S20xDP_3_(47), aes_state_regs_0_S30xDP_3_(47), aes_state_regs_0_S30xDP_4_(47), aes_state_regs_0_S00xDP[4](47), aes_state_regs_0_S10xDP_4_(47), aes_state_regs_0_S20xDP_7_(47), aes_state_regs_0_S30xDP_7_(47), aes_ctrl_lsfr_23_cycles_1_n9(47), aes_ctrl_lsfr_23_cycles_1_n7(47), rcon_1_n28(47), rcon_1_n31(47), aes_ctrl_lsfr_23_cycles_1_n4(47), aes_ctrl_lsfr_23_cycles_1_n12(47), aes_ctrl_lsfr_23_cycles_1_n5(47), aes_ctrl_lsfr_23_cycles_1_n10(47), aes_state_regs_0_n124(46), aes_state_regs_0_n47(46), aes_state_regs_0_S20xDP_3_(46), aes_state_regs_0_S30xDP_3_(46), aes_state_regs_0_S30xDP_4_(46), aes_state_regs_0_S00xDP[4](46), aes_state_regs_0_S10xDP_4_(46), aes_state_regs_0_S20xDP_7_(46), aes_state_regs_0_S30xDP_7_(46), aes_ctrl_lsfr_23_cycles_1_n9(46), aes_ctrl_lsfr_23_cycles_1_n7(46), rcon_1_n28(46), rcon_1_n31(46), aes_ctrl_lsfr_23_cycles_1_n4(46), aes_ctrl_lsfr_23_cycles_1_n12(46), aes_ctrl_lsfr_23_cycles_1_n5(46), aes_ctrl_lsfr_23_cycles_1_n10(46)] -log10(p) = 2.76679 --> OKAY
@[aes_state_regs_0_S20xDN[3](43)] ==> [aes_state_regs_0_n151(43), aes_state_regs_0_n40(43), aes_state_regs_0_S00xDP[2](43), aes_state_regs_0_S20xDP_3_(43), aes_state_regs_0_S00xDP[3](43), aes_state_regs_0_S10xDP_3_(43), aes_state_regs_0_S00xDP[7](43), aes_state_regs_0_S30xDP_7_(43), aes_state_regs_0_S30xDP_2_(43), aes_ctrl_lsfr_23_cycles_1_n9(43), aes_ctrl_lsfr_23_cycles_1_n7(43), rcon_1_n28(43), rcon_1_n31(43), aes_ctrl_lsfr_23_cycles_1_n4(43), aes_ctrl_lsfr_23_cycles_1_n12(43), aes_ctrl_lsfr_23_cycles_1_n5(43), aes_ctrl_lsfr_23_cycles_1_n10(43), aes_state_regs_0_n151(42), aes_state_regs_0_n40(42), aes_state_regs_0_S00xDP[2](42), aes_state_regs_0_S20xDP_3_(42), aes_state_regs_0_S00xDP[3](42), aes_state_regs_0_S10xDP_3_(42), aes_state_regs_0_S00xDP[7](42), aes_state_regs_0_S30xDP_7_(42), aes_state_regs_0_S30xDP_2_(42), aes_ctrl_lsfr_23_cycles_1_n9(42), aes_ctrl_lsfr_23_cycles_1_n7(42), rcon_1_n28(42), rcon_1_n31(42), aes_ctrl_lsfr_23_cycles_1_n4(42), aes_ctrl_lsfr_23_cycles_1_n12(42), aes_ctrl_lsfr_23_cycles_1_n5(42), aes_ctrl_lsfr_23_cycles_1_n10(42)] -log10(p) = 2.7506 --> OKAY
@[aes_state_regs_0_S20xDN[3](44)] ==> [aes_state_regs_0_n151(44), aes_state_regs_0_n40(44), aes_state_regs_0_S00xDP[2](44), aes_state_regs_0_S20xDP_3_(44), aes_state_regs_0_S00xDP[3](44), aes_state_regs_0_S10xDP_3_(44), aes_state_regs_0_S00xDP[7](44), aes_state_regs_0_S30xDP_7_(44), aes_state_regs_0_S30xDP_2_(44), aes_ctrl_lsfr_23_cycles_1_n9(44), aes_ctrl_lsfr_23_cycles_1_n7(44), rcon_1_n28(44), rcon_1_n31(44), aes_ctrl_lsfr_23_cycles_1_n4(44), aes_ctrl_lsfr_23_cycles_1_n12(44), aes_ctrl_lsfr_23_cycles_1_n5(44), aes_ctrl_lsfr_23_cycles_1_n10(44), aes_state_regs_0_n151(43), aes_state_regs_0_n40(43), aes_state_regs_0_S00xDP[2](43), aes_state_regs_0_S20xDP_3_(43), aes_state_regs_0_S00xDP[3](43), aes_state_regs_0_S10xDP_3_(43), aes_state_regs_0_S00xDP[7](43), aes_state_regs_0_S30xDP_7_(43), aes_state_regs_0_S30xDP_2_(43), aes_ctrl_lsfr_23_cycles_1_n9(43), aes_ctrl_lsfr_23_cycles_1_n7(43), rcon_1_n28(43), rcon_1_n31(43), aes_ctrl_lsfr_23_cycles_1_n4(43), aes_ctrl_lsfr_23_cycles_1_n12(43), aes_ctrl_lsfr_23_cycles_1_n5(43), aes_ctrl_lsfr_23_cycles_1_n10(43)] -log10(p) = 2.73997 --> OKAY
