Successfully parsed the settings file at "config.json".
Successfully opened the library file at "../../../../../../library.json".
Successfully read the library with name "NANG45".
Successfully found buffer cell with name "buf".
Successfully parsed 34 cells from the library.
"circuit"...done
Successfully matched 18 fresh mask signals [{Zmul1xDI[0]}, {Zmul1xDI[1]}, {Zmul1xDI[2]}, {Zmul1xDI[3]}, {Zmul2xDI[0]}, {Zmul2xDI[1]}, {Zmul2xDI[2]}, {Zmul2xDI[3]}, {Zmul3xDI[0]}, {Zmul3xDI[1]}, {Zmul3xDI[2]}, {Zmul3xDI[3]}, {Zinv1xDI[0]}, {Zinv1xDI[1]}, {Zinv2xDI[0]}, {Zinv2xDI[1]}, {Zinv3xDI[0]}, {Zinv3xDI[1]}].
Evaluate the circuit under the robust probing model!
115 different spots to probe detected!
Generate univariate probing sets...1150 probing sets generated...done!
Remove duplicated probing sets...890 probing sets remain...done!
Remove strictly less informative probing sets...Setting univariate case...done! 738 probing sets remain!
-------------------------------------------------------------------------------------------------------------------------------------
| #Standard Probes | #Extended Probes | #Probing Sets | Minimum #Probes per Set | Maximum #Probes per Set | Average #Probes per Set |
-------------------------------------------------------------------------------------------------------------------------------------
|             1150 |             1860 |           738 |                       6 |                      26 |               14.439024 |
-------------------------------------------------------------------------------------------------------------------------------------

Evaluate security under the robust probing model!
----------------------------------------------------------------------------------------------------------------------------------------
|      Elapsed Time |      Required Ram |  Processed Simulations | Probing Set with highest Information Leakage |  -log10(p) |  Status |
----------------------------------------------------------------------------------------------------------------------------------------
|       456.014874s |        7.472284GB |               43000000 |                      [mult_msb_FFxDN[12](7)] |   2.971722 |    OKAY |
|       466.716959s |        7.472284GB |               44000000 |                      [mult_msb_FFxDN[12](7)] |   2.462496 |    OKAY |
|       477.738188s |        7.472284GB |               45000000 |                      [mult_msb_FFxDN[11](9)] |   2.419760 |    OKAY |
|       488.388572s |        7.472284GB |               46000000 |                       [mult_msb_FFxDN[3](9)] |   2.351442 |    OKAY |
|       499.014609s |        7.472284GB |               47000000 |                       [mult_msb_FFxDN[3](9)] |   2.431184 |    OKAY |
|       509.653161s |        7.472284GB |               48000000 |          [inverter_gf24_a_mul_b_FFxDN[1](4)] |   2.084930 |    OKAY |
|       521.557691s |        7.472284GB |               49000000 |                      [mult_msb_FFxDN[11](9)] |   2.596694 |    OKAY |
|       532.286106s |        7.472284GB |               50000000 |                      [mult_msb_FFxDN[11](9)] |   2.508362 |    OKAY |
|       543.052078s |        7.472284GB |               51000000 |                      [mult_msb_FFxDN[11](9)] |   2.264551 |    OKAY |
|       553.926626s |        7.472284GB |               52000000 |                    [inverter_gf24_ExD[0](9)] |   1.988654 |    OKAY |
|       564.709447s |        7.472284GB |               53000000 |                    [inverter_gf24_ExD[0](9)] |   2.084215 |    OKAY |
|       575.448009s |        7.472284GB |               54000000 |                    [inverter_gf24_ExD[0](9)] |   2.113953 |    OKAY |
|       586.299035s |        7.472284GB |               55000000 |                    [inverter_gf24_ExD[0](9)] |   2.289808 |    OKAY |
|       597.703789s |        7.485936GB |               56000000 |                    [inverter_gf24_ExD[3](2)] |   2.311660 |    OKAY |
|       608.468766s |        7.485936GB |               57000000 |                    [inverter_gf24_ExD[3](2)] |   2.485117 |    OKAY |
|       619.990265s |        7.485936GB |               58000000 |                    [inverter_gf24_ExD[3](2)] |   2.403085 |    OKAY |
|       631.082902s |        7.485936GB |               59000000 |                    [inverter_gf24_ExD[0](9)] |   2.389771 |    OKAY |
|       641.891770s |        7.485936GB |               60000000 |                    [inverter_gf24_ExD[0](9)] |   2.351212 |    OKAY |
|       652.704280s |        7.485936GB |               61000000 |                    [inverter_gf24_ExD[0](9)] |   2.334160 |    OKAY |
|       663.863624s |        7.485936GB |               62000000 |                    [inverter_gf24_ExD[3](2)] |   2.297649 |    OKAY |
|       674.687927s |        7.485936GB |               63000000 |                    [inverter_gf24_ExD[3](2)] |   2.462529 |    OKAY |
|       685.484849s |        7.485936GB |               64000000 |                    [inverter_gf24_ExD[3](2)] |   2.571540 |    OKAY |
|       696.560370s |        7.485936GB |               65000000 |                    [inverter_gf24_ExD[3](2)] |   2.934901 |    OKAY |
|       707.386407s |        7.485936GB |               66000000 |                    [inverter_gf24_ExD[3](2)] |   2.908287 |    OKAY |
|       718.170804s |        7.485936GB |               67000000 |                    [inverter_gf24_ExD[3](2)] |   3.090446 |    OKAY |
|       729.294761s |        7.485936GB |               68000000 |                    [inverter_gf24_ExD[3](2)] |   3.177257 |    OKAY |
|       740.514288s |        7.485936GB |               69000000 |                    [inverter_gf24_ExD[3](2)] |   3.353733 |    OKAY |
|       751.696339s |        7.485936GB |               70000000 |                    [inverter_gf24_ExD[3](2)] |   2.925498 |    OKAY |
|       762.560078s |        7.485936GB |               71000000 |                    [inverter_gf24_ExD[3](2)] |   3.058282 |    OKAY |
|       774.789492s |        7.485936GB |               72000000 |                    [inverter_gf24_ExD[3](2)] |   2.948891 |    OKAY |
|       787.053383s |        7.485936GB |               73000000 |                    [inverter_gf24_ExD[3](2)] |   2.845876 |    OKAY |
|       798.755344s |        7.485936GB |               74000000 |                    [inverter_gf24_ExD[3](2)] |   2.894031 |    OKAY |
|       810.459934s |        7.485936GB |               75000000 |                    [inverter_gf24_ExD[3](2)] |   2.590752 |    OKAY |
|       822.238357s |        7.485936GB |               76000000 |                    [inverter_gf24_ExD[1](8)] |   2.495314 |    OKAY |
|       834.341805s |        7.485936GB |               77000000 |                    [inverter_gf24_ExD[1](8)] |   2.500718 |    OKAY |
|       846.346745s |        7.485936GB |               78000000 |                    [inverter_gf24_ExD[1](8)] |   2.548950 |    OKAY |
|       858.250232s |        7.485936GB |               79000000 |                    [inverter_gf24_ExD[1](8)] |   2.749901 |    OKAY |
|       870.502810s |        7.485936GB |               80000000 |                    [inverter_gf24_ExD[1](8)] |   2.875447 |    OKAY |
|       882.065364s |        7.485936GB |               81000000 |                    [inverter_gf24_ExD[1](8)] |   2.851432 |    OKAY |
|       893.864371s |        7.485936GB |               82000000 |                    [inverter_gf24_ExD[1](8)] |   3.248144 |    OKAY |
|       905.700201s |        7.485936GB |               83000000 |                    [inverter_gf24_ExD[1](8)] |   3.055996 |    OKAY |
|       917.842383s |        7.485936GB |               84000000 |                    [inverter_gf24_ExD[1](8)] |   2.988220 |    OKAY |
|       929.976707s |        7.485936GB |               85000000 |                    [inverter_gf24_ExD[1](8)] |   3.099695 |    OKAY |
|       941.529330s |        7.485936GB |               86000000 |                    [inverter_gf24_ExD[1](8)] |   3.216866 |    OKAY |
|       953.769689s |        7.485936GB |               87000000 |                    [inverter_gf24_ExD[1](8)] |   3.025343 |    OKAY |
