Report file after 12800 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 16: @[md1FF_state_gff_10_SFF_1_n7(16)] ==> [md1FF_state_gff_10_SFF_1_n8(16), md1FF_inputPar[25](16), md1FF_inputPar[37](16), fsm_n9(16), fsm_n7(16), enKey(16), md1FF_state_gff_10_SFF_1_n8(15), md1FF_inputPar[25](15), md1FF_inputPar[37](15), fsm_n9(15), fsm_n7(15), enKey(15)] -log10(p) = 2.26805 --> OKAY
Cycle 17: @[stateFF_state_gff_2_SFF_2_n7(17)] ==> [stateFF_inputPar[6](17), stateFF_inputPar[33](17), stateFF_state_gff_2_SFF_2_n8(17), fsm_n9(17), fsm_n7(17), enKey(17), stateFF_inputPar[6](16), stateFF_inputPar[33](16), stateFF_state_gff_2_SFF_2_n8(16), fsm_n9(16), fsm_n7(16), enKey(16)] -log10(p) = 2.45795 --> OKAY
Cycle 18: @[stateFF_state_gff_1_SFF_0_n6(18)] ==> [sbox_e_reg[1](18), sbox_e_reg[2](18), stateFF_state_gff_1_SFF_0_n7(18), dataIn1[0](18), fsm_ps_state_1_(18), fsm_n7(18), enKey(18), sbox_e_reg[1](17), sbox_e_reg[2](17), stateFF_state_gff_1_SFF_0_n7(17), dataIn1[0](17), fsm_ps_state_1_(17), fsm_n7(17), enKey(17)] -log10(p) = 3.50612 --> OKAY
Cycle 19: @[md1FF_state_gff_8_SFF_3_n6(19)] ==> [md1FF_inputPar[31](19), md1FF_inputPar[55](19), md1FF_state_gff_8_SFF_3_n7(19), fsm_n9(19), fsm_n7(19), enKey(19), md1FF_inputPar[31](18), md1FF_inputPar[55](18), md1FF_state_gff_8_SFF_3_n7(18), fsm_n9(18), fsm_n7(18), enKey(18)] -log10(p) = 1.56477 --> OKAY
Cycle 20: @[stateFF_state_gff_1_SFF_2_n7(20)] ==> [sbox_g_reg[1](20), sbox_g_reg[2](20), sbox_g_reg[3](20), sbox_g_reg[4](20), stateFF_inputPar[2](20), stateFF_state_gff_1_SFF_2_n8(20), dataIn1[2](20), fsm_ps_state_1_(20), fsm_n9(20), fsm_n7(20), enKey(20), sbox_g_reg[1](19), sbox_g_reg[2](19), sbox_g_reg[3](19), sbox_g_reg[4](19), stateFF_inputPar[2](19), stateFF_state_gff_1_SFF_2_n8(19), dataIn1[2](19), fsm_ps_state_1_(19), fsm_n9(19), fsm_n7(19), enKey(19)] -log10(p) = 2.42704 --> OKAY
Cycle 21: @[stateFF_state_gff_2_SFF_0_n7(21)] ==> [stateFF_inputPar[4](21), stateFF_state_gff_2_SFF_0_n8(21), stateFF_inputPar[1](21), fsm_n9(21), fsm_n7(21), enKey(21), stateFF_inputPar[4](20), stateFF_state_gff_2_SFF_0_n8(20), stateFF_inputPar[1](20), fsm_n9(20), fsm_n7(20), enKey(20)] -log10(p) = 2.90257 --> OKAY
Cycle 22: @[stateFF_state_gff_5_SFF_0_n6(22)] ==> [stateFF_state_gff_5_SFF_0_n7(22), stateFF_inputPar[4](22), sbox_f_reg[1](22), sbox_f_reg[2](22), sbox_f_reg[3](22), sbox_f_reg[4](22), dataIn1[1](22), fsm_ps_state_1_(22), fsm_n9(22), fsm_n7(22), enKey(22), stateFF_state_gff_5_SFF_0_n7(21), stateFF_inputPar[4](21), sbox_f_reg[1](21), sbox_f_reg[2](21), sbox_f_reg[3](21), sbox_f_reg[4](21), dataIn1[1](21), fsm_ps_state_1_(21), fsm_n9(21), fsm_n7(21), enKey(21)] -log10(p) = 2.87628 --> OKAY
Cycle 23: @[stateFF_state_gff_6_SFF_0_n7(23)] ==> [stateFF_state_gff_6_SFF_0_n8(23), stateFF_inputPar[20](23), stateFF_inputPar[5](23), fsm_n9(23), fsm_n7(23), enKey(23), stateFF_state_gff_6_SFF_0_n8(22), stateFF_inputPar[20](22), stateFF_inputPar[5](22), fsm_n9(22), fsm_n7(22), enKey(22)] -log10(p) = 2.07432 --> OKAY
Cycle 24: @[md1FF_state_gff_1_SFF_1_n7(24)] ==> [sbox_f_reg[5](24), sbox_f_reg[6](24), sbox_f_reg[7](24), sbox_f_reg[8](24), md1FF_inputPar[1](24), md1FF_state_gff_1_SFF_1_n8(24), dataIn2[1](24), fsm_ps_state_1_(24), fsm_n9(24), fsm_n7(24), enKey(24), sbox_f_reg[5](23), sbox_f_reg[6](23), sbox_f_reg[7](23), sbox_f_reg[8](23), md1FF_inputPar[1](23), md1FF_state_gff_1_SFF_1_n8(23), dataIn2[1](23), fsm_ps_state_1_(23), fsm_n9(23), fsm_n7(23), enKey(23)] -log10(p) = 258.662 --> LEAKAGE
Cycle 25: @[md1FF_state_gff_1_SFF_1_n7(25)] ==> [sbox_f_reg[5](25), sbox_f_reg[6](25), sbox_f_reg[7](25), sbox_f_reg[8](25), md1FF_inputPar[1](25), md1FF_state_gff_1_SFF_1_n8(25), dataIn2[1](25), fsm_ps_state_1_(25), fsm_n9(25), fsm_n7(25), enKey(25), sbox_f_reg[5](24), sbox_f_reg[6](24), sbox_f_reg[7](24), sbox_f_reg[8](24), md1FF_inputPar[1](24), md1FF_state_gff_1_SFF_1_n8(24), dataIn2[1](24), fsm_ps_state_1_(24), fsm_n9(24), fsm_n7(24), enKey(24)] -log10(p) = 49.982 --> LEAKAGE
