Report file after 38400 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 15: @[Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Out[15](15), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_G_inst_CF_Out[18](15)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_7_S1_Q12_1_out2[2](15), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Reg[21](15), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Reg[22](15), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Reg[23](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs2[7](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs2[5](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs1[4](15)] -log10(p) = 4.60922 --> OKAY

2.) Summary of the most leakging (and already active) probing sets: 

@[Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Out[15](15), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_G_inst_CF_Out[18](15)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_7_S1_Q12_1_out2[2](15), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Reg[21](15), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Reg[22](15), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Reg[23](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs2[7](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs2[5](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs1[4](15)] -log10(p) = 4.60922 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_1_S2_G_inst_CF_Out[2](15), Inst_SubCell_Multi_Inst_TwoSbox_5_S1_F_inst_CF_Out[12](15)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_5_S1_InAff_out3_reg[3](15), Inst_SubCell_Multi_Inst_TwoSbox_5_S1_InAff_out3_reg[1](15), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_Q12_1_out2[2](15), r[55](15), r[56](15), Inst_SubCell_Multi_Inst_TwoSbox_5_rs2[4](15), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Reg[24](15), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Reg[25](15), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Reg[26](15)] -log10(p) = 4.34639 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Out[15](15), Inst_SubCell_Multi_Inst_TwoSbox_4_S1_F_inst_CF_Out[14](15)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_4_S1_InAff_out3_reg[1](15), r[9](15), r[10](15), Inst_SubCell_Multi_Inst_TwoSbox_4_rs2[5](15), Inst_SubCell_Multi_Inst_TwoSbox_4_rs2[4](15), Inst_SubCell_Multi_Inst_TwoSbox_4_rs1[7](15), Inst_SubCell_Multi_Inst_TwoSbox_4_rs1[6](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs2[7](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs2[5](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs1[4](15)] -log10(p) = 4.18351 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Out[12](15), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_G_inst_CF_Out[7](15)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_1_S2_Q12_1_out1[2](15), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_InAff_out3_reg[3](15), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_InAff_out3_reg[1](15), r[58](15), r[59](15), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Reg[21](15), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Reg[22](15), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Reg[23](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs1[4](15)] -log10(p) = 3.95727 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_2_S2_F_inst_CF_Out[15](15), Inst_SubCell_Multi_Inst_TwoSbox_6_S2_F_inst_CF_Out[9](15)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_6_rs2[3](15), Inst_SubCell_Multi_Inst_TwoSbox_6_rs2[1](15), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[4](15), Inst_SubCell_Multi_Inst_TwoSbox_2_rs2[7](15), Inst_SubCell_Multi_Inst_TwoSbox_2_rs2[5](15), Inst_SubCell_Multi_Inst_TwoSbox_2_rs1[4](15)] -log10(p) = 3.91553 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_2_S1_F_inst_CF_Out[3](15), Inst_SubCell_Multi_Inst_TwoSbox_3_S1_F_inst_CF_Out[11](15)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_3_S1_InAff_out3_reg[3](15), Inst_SubCell_Multi_Inst_TwoSbox_3_S1_InAff_out3_reg[2](15), Inst_SubCell_Multi_Inst_TwoSbox_2_S1_InAff_out3_reg[3](15), Inst_SubCell_Multi_Inst_TwoSbox_2_S1_InAff_out3_reg[1](15), r[7](15), r[8](15), Inst_SubCell_Multi_Inst_TwoSbox_3_rs2[5](15), Inst_SubCell_Multi_Inst_TwoSbox_3_rs2[4](15), Inst_SubCell_Multi_Inst_TwoSbox_3_rs1[1](15), Inst_SubCell_Multi_Inst_TwoSbox_2_rs2[2](15)] -log10(p) = 3.75652 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Out[3](15), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Out[14](15)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_7_S1_InAff_out3_reg[1](15), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_InAff_out3_reg[3](15), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_InAff_out3_reg[1](15), r[9](15), r[10](15), Inst_SubCell_Multi_Inst_TwoSbox_7_rs2[5](15), Inst_SubCell_Multi_Inst_TwoSbox_7_rs2[4](15), Inst_SubCell_Multi_Inst_TwoSbox_7_rs1[7](15), Inst_SubCell_Multi_Inst_TwoSbox_7_rs1[6](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs1[2](15)] -log10(p) = 3.69934 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_2_S2_F_inst_CF_Out[18](15), Inst_SubCell_Multi_Inst_TwoSbox_6_S1_F_inst_CF_Out[7](15)] ==> [r[4](15), r[5](15), Inst_SubCell_Multi_Inst_TwoSbox_6_rs2[3](15), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[3](15), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[2](15), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[5](15), Inst_SubCell_Multi_Inst_TwoSbox_2_rs2[3](15), Inst_SubCell_Multi_Inst_TwoSbox_2_rs2[2](15), Inst_SubCell_Multi_Inst_TwoSbox_2_rs2[1](15), Inst_SubCell_Multi_Inst_TwoSbox_2_rs1[6](15)] -log10(p) = 3.68682 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Out[24](15), Inst_SubCell_Multi_Inst_TwoSbox_3_S1_G_inst_CF_Out[5](15)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_3_S1_Q12_1_out3[2](15), r[21](15), r[22](15), Inst_SubCell_Multi_Inst_TwoSbox_3_S1_F_inst_CF_Reg[18](15), Inst_SubCell_Multi_Inst_TwoSbox_3_S1_F_inst_CF_Reg[19](15), Inst_SubCell_Multi_Inst_TwoSbox_3_S1_F_inst_CF_Reg[20](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs2[7](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs2[6](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs2[5](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs1[6](15)] -log10(p) = 3.52658 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_2_S2_F_inst_CF_Out[13](15), Inst_SubCell_Multi_Inst_TwoSbox_5_S2_F_inst_CF_Out[10](15)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_5_S2_InAff_out3_reg[1](15), Inst_SubCell_Multi_Inst_TwoSbox_2_S2_InAff_out3_reg[3](15), r[43](15), r[44](15), r[45](15), r[42](15), Inst_SubCell_Multi_Inst_TwoSbox_5_rs2[3](15), Inst_SubCell_Multi_Inst_TwoSbox_5_rs1[5](15), Inst_SubCell_Multi_Inst_TwoSbox_2_rs2[5](15), Inst_SubCell_Multi_Inst_TwoSbox_2_rs1[5](15)] -log10(p) = 3.48169 --> OKAY
