Report file after 38400 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 14: @[Inst_SubCell_Multi_Inst_TwoSbox_6_S2_F_inst_N1(14), Inst_SubCell_Multi_Inst_TwoSbox_4_S1_F_inst_CF_Out[20](14)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_4_S1_InAff_out3_reg[3](14), r[13](14), r[14](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs2[0](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[0](14), Inst_SubCell_Multi_Inst_TwoSbox_4_rs2[7](14), Inst_SubCell_Multi_Inst_TwoSbox_4_rs2[6](14), Inst_SubCell_Multi_Inst_TwoSbox_4_rs1[2](14), Inst_SubCell_Multi_Inst_TwoSbox_4_rs1[1](14), Inst_SubCell_Multi_Inst_TwoSbox_4_rs1[0](14)] -log10(p) = 4.0394 --> OKAY
Cycle 15: @[Inst_SubCell_Multi_Inst_TwoSbox_6_S2_F_inst_N0(14), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Out[17](15)] ==> [r[42](15), r[47](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs2[7](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs2[1](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs1[5](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs1[4](15), Inst_SubCell_Multi_Inst_TwoSbox_6_S2_InAff_out3_reg[0](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[1](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[0](14)] -log10(p) = 3.37812 --> OKAY

2.) Summary of the most leakging (and already active) probing sets: 

@[Inst_SubCell_Multi_Inst_TwoSbox_6_S2_F_inst_N1(14), Inst_SubCell_Multi_Inst_TwoSbox_4_S1_F_inst_CF_Out[20](14)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_4_S1_InAff_out3_reg[3](14), r[13](14), r[14](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs2[0](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[0](14), Inst_SubCell_Multi_Inst_TwoSbox_4_rs2[7](14), Inst_SubCell_Multi_Inst_TwoSbox_4_rs2[6](14), Inst_SubCell_Multi_Inst_TwoSbox_4_rs1[2](14), Inst_SubCell_Multi_Inst_TwoSbox_4_rs1[1](14), Inst_SubCell_Multi_Inst_TwoSbox_4_rs1[0](14)] -log10(p) = 4.0394 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_N0(14), Inst_SubCell_Multi_Inst_TwoSbox_6_S2_F_inst_CF_Out[26](14)] ==> [r[48](14), r[53](14), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_InAff_out3_reg[0](14), Inst_SubCell_Multi_Inst_TwoSbox_7_rs2[0](14), Inst_SubCell_Multi_Inst_TwoSbox_7_rs2[1](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs2[2](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs2[7](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs2[1](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[7](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[6](14)] -log10(p) = 3.95165 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_6_S2_F_inst_N2(14), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Out[1](14)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_7_S1_InAff_out3_reg[1](14), r[1](14), r[0](14), Inst_SubCell_Multi_Inst_TwoSbox_7_rs2[3](14), Inst_SubCell_Multi_Inst_TwoSbox_7_rs1[3](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs2[4](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[1](14)] -log10(p) = 3.71038 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_7_S1_G_inst_N1(14), Inst_SubCell_Multi_Inst_TwoSbox_7_S2_F_inst_N2(14)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_7_rs2[4](14), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Reg[3](14), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Reg[4](14), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Reg[5](14), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Reg[21](14), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Reg[22](14), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_CF_Reg[23](14), Inst_SubCell_Multi_Inst_TwoSbox_7_rs1[1](14)] -log10(p) = 3.62543 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_6_S2_F_inst_N0(14), Inst_SubCell_Multi_Inst_TwoSbox_1_S2_F_inst_CF_Out[17](15)] ==> [r[42](15), r[47](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs2[7](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs2[1](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs1[5](15), Inst_SubCell_Multi_Inst_TwoSbox_1_rs1[4](15), Inst_SubCell_Multi_Inst_TwoSbox_6_S2_InAff_out3_reg[0](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[1](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[0](14)] -log10(p) = 3.37812 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_6_S2_F_inst_N2(14), Inst_SubCell_Multi_Inst_TwoSbox_3_S1_F_inst_CF_Out[25](14)] ==> [r[16](14), r[17](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs2[4](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[1](14), Inst_SubCell_Multi_Inst_TwoSbox_3_rs2[7](14), Inst_SubCell_Multi_Inst_TwoSbox_3_rs1[3](14), Inst_SubCell_Multi_Inst_TwoSbox_3_rs1[6](14), Inst_SubCell_Multi_Inst_TwoSbox_3_rs1[5](14), Inst_SubCell_Multi_Inst_TwoSbox_3_rs1[4](14)] -log10(p) = 3.36333 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_6_S2_F_inst_N0(14), Inst_SubCell_Multi_Inst_TwoSbox_0_S1_F_inst_CF_Out[19](14)] ==> [r[13](14), Inst_SubCell_Multi_Inst_TwoSbox_0_S1_InAff_out3_reg[1](14), Inst_SubCell_Multi_Inst_TwoSbox_0_S1_InAff_out3_reg[2](14), r[12](14), Inst_SubCell_Multi_Inst_TwoSbox_6_S2_InAff_out3_reg[0](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[1](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[0](14), Inst_SubCell_Multi_Inst_TwoSbox_0_rs2[7](14), Inst_SubCell_Multi_Inst_TwoSbox_0_rs1[3](14)] -log10(p) = 3.27285 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_7_S1_F_inst_N0(14), Inst_SubCell_Multi_Inst_TwoSbox_3_S2_G_inst_CF_Out[25](15)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_3_S2_Q12_1_out1[2](15), r[70](15), r[71](15), Inst_SubCell_Multi_Inst_TwoSbox_3_S2_F_inst_CF_Reg[21](15), Inst_SubCell_Multi_Inst_TwoSbox_3_S2_F_inst_CF_Reg[22](15), Inst_SubCell_Multi_Inst_TwoSbox_3_S2_F_inst_CF_Reg[23](15), Inst_SubCell_Multi_Inst_TwoSbox_7_S1_InAff_out3_reg[0](14), Inst_SubCell_Multi_Inst_TwoSbox_7_rs2[0](14), Inst_SubCell_Multi_Inst_TwoSbox_7_rs2[1](14)] -log10(p) = 3.18993 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_6_S2_F_inst_N0(14), Inst_SubCell_Multi_Inst_TwoSbox_5_S2_F_inst_CF_Out[19](15)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_5_S2_InAff_out3_reg[1](15), Inst_SubCell_Multi_Inst_TwoSbox_5_S2_InAff_out3_reg[2](15), r[49](15), r[48](15), Inst_SubCell_Multi_Inst_TwoSbox_5_rs2[3](15), Inst_SubCell_Multi_Inst_TwoSbox_5_rs1[7](15), Inst_SubCell_Multi_Inst_TwoSbox_6_S2_InAff_out3_reg[0](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[1](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[0](14)] -log10(p) = 3.13684 --> OKAY
@[Inst_SubCell_Multi_Inst_TwoSbox_6_S2_F_inst_N2(14), Inst_SubCell_Multi_Inst_TwoSbox_4_S1_G_inst_CF_Out[7](14)] ==> [Inst_SubCell_Multi_Inst_TwoSbox_4_S1_Q12_1_out1[2](14), r[22](14), r[23](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs2[4](14), Inst_SubCell_Multi_Inst_TwoSbox_6_rs1[1](14), Inst_SubCell_Multi_Inst_TwoSbox_4_S1_F_inst_CF_Reg[21](14), Inst_SubCell_Multi_Inst_TwoSbox_4_S1_F_inst_CF_Reg[22](14), Inst_SubCell_Multi_Inst_TwoSbox_4_S1_F_inst_CF_Reg[23](14)] -log10(p) = 3.10819 --> OKAY
