Successfully parsed the settings file at "config.json".
Successfully opened the library file at "../../../../../../library.json".
Successfully read the library with name "NANG45".
Successfully found buffer cell with name "buf".
Successfully parsed 34 cells from the library.
"circuit"...done
Successfully matched 0 fresh mask signals [].
Evaluate the circuit under the robust probing model!
3210 different spots to probe detected!
Generate univariate probing sets...9630 probing sets generated...done!
-------------------------------------------------------------------------------------------------------------------------------------
| #Standard Probes | #Extended Probes | #Probing Sets | Minimum #Probes per Set | Maximum #Probes per Set | Average #Probes per Set |
-------------------------------------------------------------------------------------------------------------------------------------
|             9630 |              993 |          9630 |                       1 |                     240 |               41.021807 |
-------------------------------------------------------------------------------------------------------------------------------------

Evaluate security under the robust probing model!
----------------------------------------------------------------------------------------------------------------------------------------
|      Elapsed Time |      Required Ram |  Processed Simulations | Probing Set with highest Information Leakage |  -log10(p) |  Status |
----------------------------------------------------------------------------------------------------------------------------------------
|      4044.726223s |        7.444400GB |               42000000 |[top_AND_M25_U1_OperationInst_andInst4_n3(2)] |   3.003302 |    OKAY |
|      4145.920750s |        7.444400GB |               43000000 |              [top_XOR_L18_U1_xorInst_n12(2)] |   3.134380 |    OKAY |
|      4241.438398s |        7.444400GB |               44000000 |              [top_XOR_L18_U1_xorInst_n12(2)] |   3.311350 |    OKAY |
|      4337.039706s |        7.444400GB |               45000000 |              [top_XOR_L18_U1_xorInst_n12(2)] |   3.148470 |    OKAY |
|      4432.546009s |        7.444400GB |               46000000 |[top_AND_M25_U1_OperationInst_andInst4_n3(2)] |   3.160911 |    OKAY |
|      4528.064780s |        7.444400GB |               47000000 |[top_AND_M25_U1_OperationInst_andInst4_n3(2)] |   3.478974 |    OKAY |
|      4623.671094s |        7.444400GB |               48000000 |[top_AND_M25_U1_OperationInst_andInst4_n3(2)] |   3.133314 |    OKAY |
|      4720.478028s |        7.444400GB |               49000000 |[top_AND_M25_U1_OperationInst_andInst4_n3(2)] |   3.276887 |    OKAY |
|      4819.431984s |        7.444400GB |               50000000 |[top_AND_M25_U1_OperationInst_andInst4_n3(2)] |   3.260814 |    OKAY |
|      4918.372413s |        7.444400GB |               51000000 |              [top_XOR_L18_U1_xorInst_n12(2)] |   3.014008 |    OKAY |
|      5013.141375s |        7.444400GB |               52000000 |[top_AND_M25_U1_OperationInst_andInst4_n3(2)] |   2.947581 |    OKAY |
|      5107.832429s |        7.444400GB |               53000000 |              [top_XOR_L18_U1_xorInst_n12(2)] |   2.822837 |    OKAY |
|      5202.446439s |        7.444400GB |               54000000 |[top_AND_M25_U1_OperationInst_andInst4_n3(2)] |   2.807969 |    OKAY |
|      5302.169972s |        7.446512GB |               55000000 |[top_AND_M25_U1_OperationInst_andInst4_n3(2)] |   2.824791 |    OKAY |
|      5398.188668s |        7.446512GB |               56000000 |[top_AND_M56_U1_OperationInst_andInst2_n3(2)] |   3.077356 |    OKAY |
|      5495.764180s |        7.446512GB |               57000000 |[top_AND_M25_U1_OperationInst_andInst4_n3(2)] |   2.904965 |    OKAY |
|      5590.483670s |        7.446512GB |               58000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.143682 |    OKAY |
|      5685.569239s |        7.446512GB |               59000000 |  [top_AND_M1_U1_OperationInst_orInst1_n1(2)] |   3.140240 |    OKAY |
|      5783.611911s |        7.446512GB |               60000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.184359 |    OKAY |
|      5878.295335s |        7.446512GB |               61000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   2.966517 |    OKAY |
|      5973.583563s |        7.446512GB |               62000000 |[top_AND_M56_U1_OperationInst_andInst2_n3(2)] |   2.996216 |    OKAY |
|      6068.942202s |        7.446512GB |               63000000 |[top_AND_M56_U1_OperationInst_andInst2_n3(2)] |   3.215920 |    OKAY |
|      6163.082175s |        7.446512GB |               64000000 |              [top_XOR_L15_U1_xorInst_n10(2)] |   3.147447 |    OKAY |
|      6256.500976s |        7.446512GB |               65000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.412286 |    OKAY |
|      6349.672722s |        7.446512GB |               66000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.619069 |    OKAY |
|      6442.951314s |        7.446512GB |               67000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.471044 |    OKAY |
|      6536.288238s |        7.446512GB |               68000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.386358 |    OKAY |
